areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
nation,England,E92000001,2020-09-16,0,326425
nation,England,E92000001,2020-09-15,28,326425
nation,England,E92000001,2020-09-14,974,326397
nation,England,E92000001,2020-09-13,1328,325423
nation,England,E92000001,2020-09-12,1940,324095
nation,England,E92000001,2020-09-11,2525,322155
nation,England,E92000001,2020-09-10,3055,319630
nation,England,E92000001,2020-09-09,2835,316575
nation,England,E92000001,2020-09-08,2987,313740
nation,England,E92000001,2020-09-07,3435,310753
nation,England,E92000001,2020-09-06,2043,307318
nation,England,E92000001,2020-09-05,2182,305275
nation,England,E92000001,2020-09-04,2582,303093
nation,England,E92000001,2020-09-03,2655,300511
nation,England,E92000001,2020-09-02,2612,297856
nation,England,E92000001,2020-09-01,1915,295244
nation,England,E92000001,2020-08-31,1254,293329
nation,England,E92000001,2020-08-30,968,292075
nation,England,E92000001,2020-08-29,1035,291107
nation,England,E92000001,2020-08-28,1378,290072
nation,England,E92000001,2020-08-27,1324,288694
nation,England,E92000001,2020-08-26,1135,287370
nation,England,E92000001,2020-08-25,1054,286235
nation,England,E92000001,2020-08-24,1079,285181
nation,England,E92000001,2020-08-23,693,284102
nation,England,E92000001,2020-08-22,712,283409
nation,England,E92000001,2020-08-21,1000,282697
nation,England,E92000001,2020-08-20,1218,281697
nation,England,E92000001,2020-08-19,1073,280479
nation,England,E92000001,2020-08-18,924,279406
nation,England,E92000001,2020-08-17,1137,278482
nation,England,E92000001,2020-08-16,526,277345
nation,England,E92000001,2020-08-15,647,276819
nation,England,E92000001,2020-08-14,1044,276172
nation,England,E92000001,2020-08-13,1018,275128
nation,England,E92000001,2020-08-12,1093,274110
nation,England,E92000001,2020-08-11,1213,273017
nation,England,E92000001,2020-08-10,1352,271804
nation,England,E92000001,2020-08-09,557,270452
nation,England,E92000001,2020-08-08,637,269895
nation,England,E92000001,2020-08-07,858,269258
nation,England,E92000001,2020-08-06,981,268400
nation,England,E92000001,2020-08-05,947,267419
nation,England,E92000001,2020-08-04,920,266472
nation,England,E92000001,2020-08-03,939,265552
nation,England,E92000001,2020-08-02,514,264613
nation,England,E92000001,2020-08-01,494,264099
nation,England,E92000001,2020-07-31,622,263605
nation,England,E92000001,2020-07-30,855,262983
nation,England,E92000001,2020-07-29,971,262128
nation,England,E92000001,2020-07-28,780,261157
nation,England,E92000001,2020-07-27,809,260377
nation,England,E92000001,2020-07-26,516,259568
nation,England,E92000001,2020-07-25,490,259052
nation,England,E92000001,2020-07-24,714,258562
nation,England,E92000001,2020-07-23,735,257848
nation,England,E92000001,2020-07-22,747,257113
nation,England,E92000001,2020-07-21,690,256366
nation,England,E92000001,2020-07-20,754,255676
nation,England,E92000001,2020-07-19,413,254922
nation,England,E92000001,2020-07-18,467,254509
nation,England,E92000001,2020-07-17,547,254042
nation,England,E92000001,2020-07-16,641,253495
nation,England,E92000001,2020-07-15,722,252854
nation,England,E92000001,2020-07-14,651,252132
nation,England,E92000001,2020-07-13,689,251481
nation,England,E92000001,2020-07-12,352,250792
nation,England,E92000001,2020-07-11,420,250440
nation,England,E92000001,2020-07-10,520,250020
nation,England,E92000001,2020-07-09,683,249500
nation,England,E92000001,2020-07-08,672,248817
nation,England,E92000001,2020-07-07,557,248145
nation,England,E92000001,2020-07-06,656,247588
nation,England,E92000001,2020-07-05,539,246932
nation,England,E92000001,2020-07-04,388,246393
nation,England,E92000001,2020-07-03,543,246005
nation,England,E92000001,2020-07-02,560,245462
nation,England,E92000001,2020-07-01,609,244902
nation,England,E92000001,2020-06-30,572,244293
nation,England,E92000001,2020-06-29,669,243721
nation,England,E92000001,2020-06-28,411,243052
nation,England,E92000001,2020-06-27,504,242641
nation,England,E92000001,2020-06-26,644,242137
nation,England,E92000001,2020-06-25,637,241493
nation,England,E92000001,2020-06-24,728,240856
nation,England,E92000001,2020-06-23,729,240128
nation,England,E92000001,2020-06-22,815,239399
nation,England,E92000001,2020-06-21,550,238584
nation,England,E92000001,2020-06-20,628,238034
nation,England,E92000001,2020-06-19,816,237406
nation,England,E92000001,2020-06-18,943,236590
nation,England,E92000001,2020-06-17,911,235647
nation,England,E92000001,2020-06-16,993,234736
nation,England,E92000001,2020-06-15,937,233743
nation,England,E92000001,2020-06-14,746,232806
nation,England,E92000001,2020-06-13,787,232060
nation,England,E92000001,2020-06-12,937,231273
nation,England,E92000001,2020-06-11,916,230336
nation,England,E92000001,2020-06-10,1084,229420
nation,England,E92000001,2020-06-09,1057,228336
nation,England,E92000001,2020-06-08,989,227279
nation,England,E92000001,2020-06-07,664,226290
nation,England,E92000001,2020-06-06,722,225626
nation,England,E92000001,2020-06-05,1021,224904
nation,England,E92000001,2020-06-04,1144,223883
nation,England,E92000001,2020-06-03,1244,222739
nation,England,E92000001,2020-06-02,1357,221495
nation,England,E92000001,2020-06-01,1312,220138
nation,England,E92000001,2020-05-31,985,218826
nation,England,E92000001,2020-05-30,997,217841
nation,England,E92000001,2020-05-29,1371,216844
nation,England,E92000001,2020-05-28,1571,215473
nation,England,E92000001,2020-05-27,1615,213902
nation,England,E92000001,2020-05-26,1461,212287
nation,England,E92000001,2020-05-25,1382,210826
nation,England,E92000001,2020-05-24,1199,209444
nation,England,E92000001,2020-05-23,1299,208245
nation,England,E92000001,2020-05-22,1800,206946
nation,England,E92000001,2020-05-21,2275,205146
nation,England,E92000001,2020-05-20,2354,202871
nation,England,E92000001,2020-05-19,2583,200517
nation,England,E92000001,2020-05-18,2214,197934
nation,England,E92000001,2020-05-17,1592,195720
nation,England,E92000001,2020-05-16,1769,194128
nation,England,E92000001,2020-05-15,2128,192359
nation,England,E92000001,2020-05-14,2208,190231
nation,England,E92000001,2020-05-13,2880,188023
nation,England,E92000001,2020-05-12,2927,185143
nation,England,E92000001,2020-05-11,3066,182216
nation,England,E92000001,2020-05-10,2008,179150
nation,England,E92000001,2020-05-09,1792,177142
nation,England,E92000001,2020-05-08,2621,175350
nation,England,E92000001,2020-05-07,3200,172729
nation,England,E92000001,2020-05-06,3272,169529
nation,England,E92000001,2020-05-05,3149,166257
nation,England,E92000001,2020-05-04,2843,163108
nation,England,E92000001,2020-05-03,2634,160265
nation,England,E92000001,2020-05-02,2739,157631
nation,England,E92000001,2020-05-01,4095,154892
nation,England,E92000001,2020-04-30,4315,150797
nation,England,E92000001,2020-04-29,4740,146482
nation,England,E92000001,2020-04-28,4120,141742
nation,England,E92000001,2020-04-27,4032,137622
